step,train_loss,train_acc,val_loss,val_acc,lr,grad_norm
10925,3.052257,0.405495,,,4.13e-05,1.6346
10950,3.243509,0.396948,,,4.10e-05,1.5182
10975,3.577435,0.341544,,,4.06e-05,1.6214
11000,3.227581,0.370273,3.237717,0.389803,4.03e-05,1.4966
11025,3.385451,0.355813,,,4.00e-05,1.4770
11050,3.453180,0.361387,,,3.96e-05,1.8119
11075,2.982397,0.418748,,,3.93e-05,1.7023
11100,3.544670,0.333057,,,3.90e-05,1.3902
11125,3.548829,0.341105,,,3.87e-05,1.5608
11150,3.012027,0.425032,,,3.84e-05,1.4916
11175,3.271895,0.385355,,,3.81e-05,1.4257
11200,3.435229,0.357344,,,3.78e-05,1.4289
11225,3.360552,0.376140,,,3.75e-05,1.8010
11250,3.477958,0.360756,,,3.72e-05,1.6859
11275,3.593426,0.339887,,,3.69e-05,1.3605
11300,3.119463,0.406777,,,3.66e-05,1.7908
11325,3.474928,0.360586,,,3.63e-05,1.5852
11350,3.279327,0.383834,,,3.61e-05,1.5092
11375,3.131823,0.398400,,,3.58e-05,1.5622
11400,3.362886,0.378320,,,3.56e-05,1.6798
11425,3.099905,0.414217,,,3.53e-05,1.6873
11450,3.064631,0.412980,,,3.51e-05,1.3606
11475,3.512700,0.355495,,,3.48e-05,1.5171
11500,2.945068,0.419984,3.178035,0.399066,3.46e-05,1.6954
11525,3.364493,0.363286,,,3.44e-05,1.3939
11550,3.182311,0.384569,,,3.42e-05,1.5539
11575,3.456473,0.368667,,,3.39e-05,1.5994
11600,3.131744,0.405256,,,3.37e-05,1.4694
11625,3.195896,0.389954,,,3.35e-05,1.7351
11650,3.194281,0.392326,,,3.33e-05,1.7263
11675,3.297802,0.374678,,,3.31e-05,1.4709
11700,3.218279,0.386717,,,3.30e-05,1.8378
11725,3.075284,0.425476,,,3.28e-05,1.7346
11750,3.300922,0.374562,,,3.26e-05,1.6450
11775,3.606158,0.330814,,,3.24e-05,1.5309
11800,3.286853,0.385901,,,3.23e-05,1.5125
11825,3.220501,0.381344,,,3.21e-05,1.4882
11850,3.079830,0.416276,,,3.20e-05,1.6800
11875,3.417224,0.350640,,,3.18e-05,1.6919
11900,3.590500,0.337362,,,3.17e-05,1.4495
11925,3.141700,0.401126,,,3.15e-05,1.3851
11950,3.683887,0.338378,,,3.14e-05,1.5842
11975,3.191885,0.400207,,,3.13e-05,1.5598
12000,3.582168,0.341865,3.200806,0.394538,3.12e-05,1.4986
12025,3.324718,0.381396,,,3.10e-05,1.4720
12050,3.311888,0.385971,,,3.09e-05,1.5721
12075,3.227642,0.376652,,,3.08e-05,1.6404
12100,3.508975,0.351174,,,3.07e-05,1.4111
12125,3.754185,0.311948,,,3.07e-05,1.5463
12150,3.463525,0.346051,,,3.06e-05,1.5799
12175,3.485200,0.357758,,,3.05e-05,1.5363
12200,3.423291,0.361773,,,3.04e-05,1.6876
12225,2.810545,0.446529,,,3.04e-05,1.6469
12250,3.799987,0.309401,,,3.03e-05,1.3240
12275,3.543144,0.345661,,,3.02e-05,1.5861
12300,3.309711,0.388695,,,3.02e-05,1.5487
12325,3.323536,0.381583,,,3.01e-05,1.5234
12350,3.250444,0.386151,,,3.01e-05,1.5551
12375,3.160857,0.399845,,,3.01e-05,1.6597
12400,3.607005,0.331776,,,3.00e-05,1.5015
12425,3.268486,0.388719,,,3.00e-05,1.4522
12450,3.061967,0.420749,,,3.00e-05,1.7957
12475,3.301473,0.384338,,,3.00e-05,1.4770
12500,3.103173,0.400776,3.242578,0.391108,3.00e-05,1.7479
